id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
322,Krowodrza,Kraków,2,1074924.00,3,63.00,1976,17062.28,2020-01-01,
323,Grzegórzki,Kraków,2,956173.95,2,52.66,2022,18157.50,2020-01-01,
324,Podgórze,Kraków,0,1234710.00,2,71.00,1950,17390.28,2020-01-01,
325,Grzegórzki,Kraków,4,660933.00,2,51.70,1987,12784.00,2020-01-01,
326,Prądnik Biały,Kraków,1,1463036.93,5,126.69,2021,11548.17,2020-01-01,
327,Krowodrza,Kraków,1,884284.78,2,50.73,2022,17431.20,2020-01-01,
328,Nowa Huta,Kraków,2,2251530.00,3,158.00,1930,14250.19,2020-01-01,
329,Podgórze,Kraków,0,692192.95,3,50.16,2021,13799.70,2020-01-01,
330,Nowa Huta,Kraków,1,855581.40,3,57.36,2021,14915.99,2020-01-01,
331,Krowodrza,Kraków,2,2047759.27,5,108.44,2020,18883.80,2020-01-01,
332,Nowa Huta,Kraków,2,512320.40,2,34.92,2022,14671.26,2020-01-01,
333,Nowa Huta,Kraków,1,602422.27,1,34.56,2022,17431.20,2020-01-01,
334,Nowa Huta,Kraków,0,434327.40,1,32.67,2021,13294.38,2020-01-01,
335,Grzegórzki,Kraków,2,534572.78,1,27.67,2020,19319.58,2020-01-01,
336,Podgórze,Kraków,3,681269.40,2,39.18,2021,17388.19,2020-01-01,
337,Bieńczyce,Kraków,3,432874.80,2,38.00,1972,11391.45,2020-01-01,
338,Stare Miasto,Kraków,1,1233257.40,3,101.00,1930,12210.47,2020-01-01,
339,Dębniki,Kraków,0,987768.00,3,67.00,2009,14742.80,2020-01-01,
340,Podgórze Duchackie,Kraków,4,668196.00,2,49.00,2004,13636.66,2020-01-01,
341,Podgórze,Kraków,3,390749.40,1,35.44,2020,11025.66,2020-01-01,
342,Bieżanów-Prokocim,Kraków,2,506957.40,2,36.00,1982,14082.14,2020-01-01,
343,Bieżanów-Prokocim,Kraków,1,401208.12,2,35.88,2021,11181.94,2020-01-01,
344,Bieżanów-Prokocim,Kraków,1,773670.74,3,64.17,2021,12056.58,2020-01-01,
345,Podgórze Duchackie,Kraków,1,608639.40,2,45.32,2021,13429.82,2020-01-01,
346,Bieńczyce,Kraków,2,493884.00,2,38.00,1970,12996.95,2020-01-01,
347,Podgórze,Kraków,2,541612.08,2,34.46,2021,15717.12,2020-01-01,
348,Bieżanów-Prokocim,Kraków,3,674812.59,3,51.05,2021,13218.66,2020-01-01,
349,Podgórze,Kraków,3,958716.00,3,75.10,2002,12765.86,2020-01-01,
350,Mistrzejowice,Kraków,2,581006.59,3,50.63,2022,11475.54,2020-01-01,
351,Mistrzejowice,Kraków,4,1010220.84,4,83.79,2020,12056.58,2020-01-01,
352,Podgórze Duchackie,Kraków,4,668196.00,2,49.20,2004,13581.21,2020-01-01,
353,Grzegórzki,Kraków,0,551988.00,2,39.15,1960,14099.31,2020-01-01,
354,Nowa Huta,Kraków,1,768425.40,3,53.84,2021,14272.39,2020-01-01,
355,Podgórze,Kraków,3,581040.00,2,32.00,2015,18157.50,2020-01-01,
356,Stare Miasto,Kraków,0,551988.00,3,43.00,1930,12836.93,2020-01-01,
357,Prądnik Biały,Kraków,1,299315.49,1,21.69,2020,13799.70,2020-01-01,
358,Podgórze Duchackie,Kraków,6,782951.40,3,60.22,2021,13001.51,2020-01-01,
359,Podgórze Duchackie,Kraków,1,724847.40,3,62.28,2021,11638.52,2020-01-01,
360,Bieńczyce,Kraków,1,797477.40,2,52.60,1998,15161.16,2020-01-01,
361,Prądnik Czerwony,Kraków,1,893349.00,3,60.51,2010,14763.66,2020-01-01,
362,Nowa Huta,Kraków,3,1032907.55,4,74.85,2022,13799.70,2020-01-01,
363,Podgórze Duchackie,Kraków,1,724847.40,3,62.28,2020,11638.52,2020-01-01,
364,Nowa Huta,Kraków,4,711551.75,3,52.39,2022,13581.82,2020-01-01,
365,Podgórze,Kraków,2,623165.40,2,34.77,2021,17922.50,2020-01-01,
366,Prądnik Biały,Kraków,0,426631.53,1,24.89,2020,17140.68,2020-01-01,
367,Bronowice,Kraków,4,1083639.60,3,62.00,2010,17478.06,2020-01-01,
368,Bronowice,Kraków,4,639144.00,3,53.00,1976,12059.33,2020-01-01,
369,Bieżanów-Prokocim,Kraków,1,411085.80,2,38.01,2021,10815.20,2020-01-01,
370,Swoszowice,Kraków,2,857070.32,3,78.67,2014,10894.50,2020-01-01,
371,Nowa Huta,Kraków,2,524991.43,2,35.26,2022,14889.15,2020-01-01,
372,Prądnik Biały,Kraków,1,724847.40,2,45.00,1980,16107.72,2020-01-01,
373,Stare Miasto,Kraków,2,1160627.40,3,65.00,1910,17855.81,2020-01-01,
374,Nowa Huta,Kraków,2,603180.53,2,40.71,2022,14816.52,2020-01-01,
375,Podgórze Duchackie,Kraków,1,915138.00,2,54.00,1970,16947.00,2020-01-01,
376,Nowa Huta,Kraków,5,895004.96,4,68.46,2022,13073.40,2020-01-01,
377,Podgórze,Kraków,1,936927.00,4,71.79,2022,13050.94,2020-01-01,
